date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:04:15	3134/3134	U-----	200	untouched ('')	application/javascript	etag:W/%22dcbf96a05a71d0c5bd6dd0bad58cdb73%22	https://static.parastorage.com/services/wix-thunderbolt/dist/codeEmbed.85f01f7b.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/codeEmbed.85f01f7b.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:15	2865/2865	U-----	200	untouched ('')	application/javascript	etag:W/%22b72f4b58e82cdffe844d8c2ad3b4f7f3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/cookiesManager.bc9e38c2.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/cookiesManager.bc9e38c2.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:15	25932/25932	U-----	200	untouched ('')	application/javascript	etag:W/%2266271fdb9328fa4a00140167d9ebcae2%22	https://static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.965d5eb8.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.965d5eb8.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:17	3419/3419	U-----	200	untouched ('')	application/javascript	etag:W/%2298cd97741f9ff89bd45f155004878f44%22	https://static.parastorage.com/services/wix-thunderbolt/dist/dynamicPages.c73f480e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/dynamicPages.c73f480e.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:50	2522/2522	U-----	200	untouched ('')	application/javascript	etag:W/%227f09005aa91783530f902f3ca83b5a58%22	https://static.parastorage.com/services/wix-thunderbolt/dist/multilingual.a55cabd0.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/multilingual.a55cabd0.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:50	9125/9125	U-----	200	untouched ('')	application/javascript	etag:W/%22c2907541ebf5cba13f7e8aa95714ccf1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooi.17bbf472.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/ooi.17bbf472.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:50	5903/5903	U-----	200	untouched ('')	application/javascript	etag:W/%221b2f96acabc86b3afd6df766f95e2bd0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/popups.352b8a26.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/popups.352b8a26.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:04:52	3899/3899	U-----	200	untouched ('')	application/javascript	etag:W/%22a47173f756b976478306d42fcbebb687%22	https://static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.1691b96b.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.1691b96b.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:24	34062/34062	U-----	200	untouched ('')	application/javascript	etag:W/%220317d8598b8fb1985da9a2a5d2313c15%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.fd7c3ec4.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.fd7c3ec4.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:24	3160/3160	U-----	200	untouched ('')	application/javascript	etag:W/%226b9acc8dc61a04204c5ffa5a0aee327d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.afa7f7ac.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.afa7f7ac.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:24	10690/10690	U-----	200	untouched ('')	application/javascript	etag:W/%22135bdf79d45fc6791ba5a3b6271f6bf3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.d653a184.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.d653a184.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:26	590/590	U-----	200	untouched ('')	application/javascript	etag:W/%22fd516b8e3a87732d5c7432eecc60a522%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.9e149dfb.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.9e149dfb.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:59	15605/15605	U-----	200	untouched ('')	application/javascript	etag:W/%22dbea10e31009ddb688dae80c08947491%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.acd9800e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/platform.acd9800e.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:59	122769/122769	U-----	200	untouched ('')	application/javascript	etag:W/%229b346cf6872b73345e9b4d8fd36c4be3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendors~vendor-react-dom.55674f13.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/vendors_vendor-react-dom.55674f13.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:05:59	387/387	U-----	200	untouched ('')	application/javascript	etag:%22f4d58f726e158e300e04bd5fb727caae%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.2eece63e.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.2eece63e.chunk.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:06:01	60045/60045	U-----	200	untouched ('')	application/javascript	etag:W/%22065d062c4d1bc20afe912fda1ce13be1%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.c65e25a7.bundle.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/componentSdks.c65e25a7.bundle.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:06:11	506297/506297	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Mar%202021%2005:06:01%20GMT	https://www.doclab.se/pcr-result/dlcm3b5j	C:/My%20Web%20Sites/PCR/www.doclab.se/pcr-result/dlcm3b5j-2.html	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:06:11	26371/26371	U-----	200	untouched ('')	application/javascript	etag:W/%22f6b486f399aa38abddf2ee696ba54a7d%22	https://static.parastorage.com/services/wix-perf-measure/1.373.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-perf-measure/1.373.0/wix-perf-measure.bundle.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:06:12	156228/156228	U-----	200	untouched ('')	application/javascript	etag:W/%225d0747e81167187d8668ecc5b9c6dfec%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.fe54eb55.bundle.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/editor-elements/dist/thunderboltElements.fe54eb55.bundle.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:06:12	10276/10276	U-----	200	untouched ('')	application/javascript	etag:W/%22bb126b6054c4d9c61702d224b8344943%22	https://static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	(from https://www.doclab.se/pcr-result/DLcm3b5j)
05:06:12	939/939	U-----	200	untouched ('')	application/javascript	etag:W/%22c19f667f48d8d6df910d12cd52bb3929%22	https://static.parastorage.com/services/wix-thunderbolt/dist/activePopup.58b26c03.chunk.min.js	C:/My%20Web%20Sites/PCR/static.parastorage.com/services/wix-thunderbolt/dist/activePopup.58b26c03.chunk.min.js	(from https://www.doclab.se/pcr-result/dlcm3b5j)
